vöktum,vœxtʏm
yfirhafnir,ɪ:vɪr̥hapnɪr
yfirhalningu,ɪ:vɪr̥halniŋkʏ
yfirherprestur,ɪ:vɪrhɛrprɛstʏr
yfirherpresturinn,ɪ:vɪrhɛrprɛstʏrɪn
yfirhershöfðingi,ɪ:vɪrhɛr̥shœvðiɲcɪ
yfirheyra,ɪ:vɪrhei:ra
yfirheyrði,ɪ:vɪrheirðɪ
yfirheyrðir,ɪ:vɪrheirðɪr
yfirheyrðu,ɪ:vɪrheirðʏ
yfirheyrður,ɪ:vɪrheirðʏr
yfirheyrsla,ɪ:vɪrheir̥stla
yfirheyrslu,ɪ:vɪrheir̥stlʏ
yfirheyrsluherberginu,ɪ:vɪrheir̥stlʏhɛrpɛcɪnʏ
yfirheyrslum,ɪ:vɪrheir̥stlʏm
yfirheyrsluna,ɪ:vɪrheir̥stlʏna
yfirheyrslunni,ɪ:vɪrheir̥stlʏnɪ
yfirheyrslur,ɪ:vɪrheir̥stlʏr
yfirheyrt,ɪ:vɪrheir̥t
yfirhöfn,ɪ:vɪrhœpn̥
yfirhöfnina,ɪ:vɪrhœpnɪna
yfirhöfuð,ɪ:vɪrhœ:vʏð
yfirhöndina,ɪ:vɪrhœntɪna
yfirhöndinni,ɪ:vɪrhœntɪnɪ
yfirkennara,ɪ:fɪr̥cʰɛnara
yfirkomin,ɪ:vɪrkʰɔ:mɪn
yfirkominn,ɪ:vɪrkʰɔmɪn
yfirleitt,ɪ:vɪrleiht
yfirlið,ɪ:vɪrlɪ:ð
yfirliði,ɪ:vɪrlɪ:ðɪ
yfirlit,ɪ:vɪrlɪ:t
yfirliti,ɪ:vɪrlɪ:tɪ
yfirlitssýning,ɪ:vɪrlɪtsi:niŋk
yfirlitssýningar,ɪ:vɪrlɪtsi:niŋkar
yfirlitssýningu,ɪ:vɪrlɪtsi:niŋkʏ
yfirlitum,ɪ:vɪrlɪ:tʏm
yfirlýsing,ɪ:vɪrli:siŋk
yfirlýsinga,ɪ:vɪrli:siŋka
yfirlýsingar,ɪ:vɪrli:siŋkar
yfirlýsingin,ɪ:vɪrli:siɲcɪn
yfirlýsingu,ɪ:vɪrli:siŋkʏ
yfirlýsingum,ɪ:vɪrli:siŋkʏm
yfirlýsinguna,ɪ:vɪrli:siŋkʏna
yfirlýsingunni,ɪ:vɪrli:siŋkʏnɪ
yfirlýst,ɪ:vɪrlist
yfirlækninum,ɪ:vɪrlaihknɪnʏm
yfirlæknir,ɪ:vɪrlaihknɪr
yfirlæknirinn,ɪ:vɪrlaihknɪrɪn
yfirlæknis,ɪ:vɪrlaihknɪs
yfirlæti,ɪ:vɪrlai:tɪ
yfirlætislega,ɪ:vɪrlaitɪstlɛɣa
yfirlögðu,ɪ:vɪrlœɣðʏ
yfirlögreglustjóra,ɪ:vɪrlœɣrɛklʏstjou:ra
yfirlögregluþjón,ɪ:vɪrlœɣrɛklʏθjou:n
yfirlögregluþjónn,ɪ:vɪrlœɣrɛklʏθjoutn̥
yfirmaður,ɪ:vɪrma:ðʏr
yfirmaðurinn,ɪ:vɪrma:ðʏrɪn
yfirmann,ɪ:vɪrman
yfirmanna,ɪ:vɪrmana
yfirmanni,ɪ:vɪrmanɪ
yfirmanns,ɪ:vɪrmans
yfirmáta,ɪ:vɪrmau:ta
yfirmenn,ɪ:vɪrmɛn
yfirmönnum,ɪ:vɪrmœnʏm
yfirnáttúrleg,ɪ:vɪrnauhturʏlɛɣ
yfirráð,ɪ:vɪrau:ð
yfirráðasvæði,ɪ:vɪrrauðasvai:ðɪ
yfirráðum,ɪ:vɪrau:ðʏm
yfirsést,ɪ:vɪrsjɛst
yfirsjón,ɪ:vɪrsjou:n
yfirskattanefnd,ɪ:vɪr̥skahtanɛmt
yfirskeggi,ɪ:vɪrscɛcɪ
yfirskeggið,ɪ:vɪrscɛcɪð
yfirskilvitlega,ɪ:vɪrscɪlvɪtlɛɣa
yfirskini,ɪ:vɪrscɪ:nɪ
yfirskrift,ɪ:vɪrskrɪft
yfirskriftin,ɪ:vɪr̥skrɪftɪn
yfirskriftina,ɪ:vɪrskrɪftɪna
yfirskriftinni,ɪ:vɪrskrɪftɪnɪ
yfirslag,ɪ:vɪr̥stla:ɣ
yfirstaðið,ɪ:vɪrsta:ðɪð
yfirstandandi,ɪ:vɪrstantantɪ
yfirsterkari,ɪ:vɪrstɛr̥karɪ
yfirstíga,ɪ:vɪrsti:ɣa
yfirstjórn,ɪ:vɪrstjourtn̥
yfirstjórnar,ɪ:vɪrstjourtnar
yfirstýringu,ɪ:vɪr̥stiriŋkʏ
yfirsýn,ɪ:vɪrsi:n
yfirtaka,ɪ:vɪrta:ka
yfirtekið,ɪ:vɪrtɛ:cɪð
yfirtekinna,ɪ:vɪrtɛ:cɪna
yfirteknum,ɪ:vɪrtɛhknʏm
yfirtók,ɪ:vɪrtou:k
yfirtöku,ɪ:vɪrtœ:kʏ
yfirtökutilboð,ɪ:vɪrtœkʏtɪlpɔð
yfirumsjón,ɪ:vɪrʏmsjoun
yfirvald,ɪ:vɪrvalt
yfirvalda,ɪ:vɪrvalta
yfirvaldi,ɪ:vɪrvaltɪ
yfirvaldið,ɪ:vɪrvaltɪð
yfirvaldsins,ɪ:vɪrvaltsɪns
yfirvaraskegg,ɪ:vɪrvarascɛk
yfirvarp,ɪ:vɪrvar̥p
yfirvegað,ɪ:vɪrvɛ:ɣað
yfirvegaðri,ɪ:vɪrvɛ:ɣaðrɪ
yfirvegaður,ɪ:vɪrvɛ:ɣaðʏr
yfirveguð,ɪ:vɪrvɛ:ɣʏð
yfirvegun,ɪ:vɪrvɛ:ɣʏn
yfirvinna,ɪ:vɪrvɪna
yfirvinnu,ɪ:vɪrvɪnʏ
yfirvinnuklukkustundir,ɪ:vɪrvɪnʏkʰlʏhkʏstʏntɪr
yfirvinnustundir,ɪ:vɪrvɪnʏstʏntɪr
yfirvinnutíma,ɪ:vɪrvɪnʏti:ma
yfirvofandi,ɪ:vɪrvɔ:vantɪ
yfirvöld,ɪ:vɪrvœlt
yfirvöldin,ɪ:vɪrvœltɪn
yfirvöldum,ɪ:vɪrvœltʏm
yfirþjónn,ɪ:vɪrθjoutn̥
yfirþjónninn,ɪ:vɪrθjoutnɪn
yfirþjónsins,ɪ:vɪrθjounsɪns
yfirþyrmandi,ɪ:vɪrθɪrmantɪ
yfrið,ɪvrɪð
yggld,ilt
yggldi,ɪltɪ
yki,ɪ:cɪ
ykist,ɪ:cɪst
ykkar,ɪhkar
ykkur,ɪhkʏr
yl,ɪ:l
Ylfa,ɪlva
ylfu,ɪlvʏ
ylinn,ɪ:lɪn
ylja,ɪlja
yljað,ɪljað
yljaði,ɪljaðɪ
yljar,ɪljar
ylli,ɪtlɪ
ylti,ɪl̥tɪ
ylur,ɪ:lʏr
yndi,ɪntɪ
yndisauka,ɪntɪsœi:ka
yndisleg,ɪntɪstlɛɣ
yndislega,ɪntɪstlɛɣa
yndislegan,ɪntɪstlɛɣan
yndislegar,ɪntɪstlɛɣar
yndislegir,ɪntɪstleijɪr
yndislegri,ɪntɪstlɛɣrɪ
yndislegt,ɪntɪstlɛxt
yndislegu,ɪntɪstlɛɣʏ
yndislegum,ɪntɪstlɛɣʏm
yndislegur,ɪntɪstlɛɣʏr
yngismær,iɲcɪsmai:r
yngjast,iɲcast
yngra,iŋkra
yngri,iŋkrɪ
yngst,iŋst
yngsta,iŋksta
yngsti,iŋkstɪ
yngstu,iŋkstʏ
yngstur,iŋkstʏr
yngt,iŋ̥t
Yngva,iŋkva
Yngvason,iŋkvasɔ:n
Yngvi,iŋkvɪ
Yngvildur,iŋkvɪltʏr
ynni,ɪnɪ
ynnu,ɪnʏ
yppir,ɪhpɪr
yppt,ɪft
yppti,ɪftɪ
ypptir,ɪftɪr
ypptu,ɪftʏ
ypsilon,ɪpsilɔ:n
yrð,ɪrð
yrða,ɪrða
yrði,ɪrðɪ
yrðir,ɪrðɪr
yrðu,ɪrðʏ
yrðuð,ɪrðʏð
yrðum,ɪrðʏm
yrkir,ɪr̥cɪr
yrkisefni,ɪr̥cɪsɛpnɪ
yrkja,ɪr̥ca
Yrsa,ɪr̥sa
yrt,ɪr̥t
ys,ɪ:s
yss,ɪs
yst,ɪst
ysta,ɪsta
ystir,ɪstɪr
ystu,ɪstʏ
ytra,ɪ:tra
ytri,ɪ:trɪ
yukatanskagans,jʏ:katanska:ɣans
yxi,ɪ:ksɪ
yxna,ɪksna
yxu,ɪksʏ
ýfa,i:va
ýfði,ivðɪ
ýjað,i:jað
ýkir,i:cɪr
ýkja,i:ca
ýkjur,i:cʏr
ýkt,ixt
ýktri,i:xtrɪ
ýktum,ixtʏm
ýlfra,ilvra
ýlfrandi,ilvrantɪ
ýlfruðu,ilvrʏðʏ
Ými,i:mɪ
Ýmir,i:mɪr
ýmis,i:mɪs
ýmiskonar,i:mɪskʰɔ:nar
ýmislegt,i:mɪstlɛxt
ýmiss,i:mɪs
ýmissa,i:mɪsa
ýmisskonar,i:mɪskʰɔnar
ýmist,i:mɪst
ýms,ims
ýmsa,imsa
ýmsan,imsan
ýmsar,imsar
ýmsir,imsɪr
ýmsu,imsʏ
ýmsum,imsʏm
Ýr,i:r
ýsa,i:sa
ýsu,i:sʏ
ýsur,i:sʏr
ýta,i:ta
ýtarlega,i:tarlɛɣa
ýti,i:tɪ
ýtir,i:tɪr
ýtnari,ihtnarɪ
ýtni,ihtnɪ
ýtrasta,i:trasta
ýtrustu,i:trʏstʏ
ýtt,iht
ýtti,ihtɪ
ýttu,ihtʏ
ýttum,ihtʏm
ýtum,i:tʏm
ýturvaxin,i:tʏrvaksɪn
z,sɛ:ta
það,θa:ð
þaðan,θa:ðan
þagað,θa:ɣað
þagði,θaɣðɪ
þagga,θaka
þaggað,θakað
þagna,θakna
þagnað,θaknað
þagnaði,θaknaðɪ
þagnaður,θaknaðʏr
þagnar,θaknar
þagnargildi,θaknarcɪltɪ
þagnarinnar,θaknarɪnar
þagnarskyldan,θaknar̥scɪltan
þak,θa:k
þakbogar,θa:kpɔɣar
þakglugga,θa:klʏka
þakgluggann,θa:klʏkan
þaki,θa:cɪ
þakið,θa:cɪð
þakin,θa:cɪn
þakinn,θa:cɪn
þakinu,θa:cɪnʏ
þakka,θahka
þakkað,θahkað
þakkaði,θahkaðɪ
þakkar,θahkar
þakkarskuld,θahkarskʏlt
þakkir,θahcɪr
þakklát,θahklaut
þakklátar,θahklautar
þakklátir,θahklautɪr
þakklátum,θahklautʏm
þakklátur,θahklautʏr
þakklæðningar,θa:klajðniŋkar
þakklæti,θahklaitɪ
þakklætis,θahklaitɪs
þakklætisskyni,θahklaitɪscɪ:nɪ
þakklætisvott,θahklaitɪsvɔht
þaknetið,θa:knɛtɪð
þaks,θa:ks
þakskegg,θa:kscɛk
þakskegginu,θa:kscɛcɪnʏ
þakta,θaxta
þaktar,θaxtar
þambaði,θampaðɪ
þambar,θampar
þambárvöllum,θampaurvœtlʏm
þandar,θantar
þandist,θantɪst
þangað,θaŋkað
þangbrands,θauŋkprants
þangi,θaɲcɪ
þangið,θaɲcɪð
þangrúllum,θauŋkrulʏm
þaninn,θa:nɪn
þann,θan
þannig,θanɪɣ
þar,θa:r
þaraf,θa:rav
þarf,θarv
þarfa,θarva
þarfagangsopi,θarvakauŋsɔ:pɪ
þarfagreinir,θarvakrɛ:jnɪr
þarfara,θarvara
þarfatöflur,θarfatʰœplʏr
þarfir,θarvɪr
þarfnaðist,θartnaðɪst
þarfnast,θartnast
þarfnist,θartnɪst
þarft,θar̥t
þarftu,θar̥tʏ
þarlend,θarlɛnt
þarlendra,θarlɛntra
þarlendum,θarlɛntʏm
þarmabólgu,θarmapoulkʏ
þarmatítur,θarmatʰi:tʏr
þarmatoturnar,θarmatʰɔ:tʏtnar
þarmeð,θarmɛð
þarna,θatna
þartil,θar̥tɪl
þarvið,θarvɪð
þau,θœi:
þaula,θœi:la
þaulvanir,θœjlva:nɪr
þaulvanur,θœilvanʏr
þaut,θœi:t
þá,θau:
þáði,θau:ðɪ
þáðu,θau:ðʏ
þáðum,θau:ðʏm
þágu,θau:ʏ
þátíðar,θau:tiðar
þátt,θauht
þátta,θauhta
þáttakandi,θauhtakantɪ
þáttanna,θauhtana
þáttar,θauhtar
þáttarins,θauhtarɪns
þáttarstjórinn,θauhtarstjourɪn
þáttaröð,θauhtarœ:ð
þáttaröðinni,θauhtarœ:ðɪnɪ
þáttaskil,θauhtascɪ:l
þáttastjórnandinn,θauhtastjourtnantɪn
þáttinn,θauhtɪn
þátttaka,θauhtaka
þátttakan,θauhtakan
þátttakanda,θauhtakanta
þátttakandi,θauhtakantɪ
þátttakenda,θauhtakɛnta
þátttakendum,θauhtakɛntʏm
þátttakendur,θauhtakɛntʏr
þátttakendurnir,θauhtakɛntʏtnɪr
þátttöku,θauhtœkʏ
þátttökugjald,θauhtœkʏcalt
þátttökuna,θauhtœkʏna
þátttökurétt,θauhtœkʏrjɛht
þáttum,θauhtʏm
þáttun,θauhtʏn
þáttunum,θauhtɔnʏm
þáttur,θauhtʏr
þátturinn,θauhtʏrɪn
þáverandi,θauvɛrantɪ
Þebu,θɛ:pʏ
þef,θɛ:v
þefað,θɛ:vað
þefgott,θɛvkɔht
þefinn,θɛ:vɪn
þefjandi,θɛvjantɪ
þegar,θɛ:ɣar
þegi,θeijɪ
þegið,θeijɪð
þegiðu,θeijɪðʏ
þegin,θeijɪn
þegir,θeijɪr
þegja,θeija
þegjandaleg,θeijantalɛɣ
þegjandi,θei:jantɪ
þegjum,θeijʏm
þegna,θɛkna
þegnanna,θɛknana
þegnar,θɛknar
þegnréttar,θɛknrjɛhtar
þegnum,θɛknʏm
þeim,θei:m
þeir,θei:r
þeirra,θeira
þeirrar,θeirar
þeirri,θeirɪ
þekja,θɛ:ca
þekjufrumum,θɛ:cʏfrʏ:mʏm
þekjunni,θɛ:cʏnɪ
þekki,θɛhcɪ
þekking,θɛhciŋk
þekkingar,θɛhciŋkar
þekkingarstjórnun,θɛhciŋkarstjourtnʏn
þekkingaruppbyggingar,θɛhciŋkarʏhpɪciŋkar
þekkingin,θɛhciɲcɪn
þekkingu,θɛhciŋkʏ
þekkinguna,θɛhciŋkʏna
þekkir,θɛhcɪr
þekkirðu,θɛhcɪrðʏ
þekkist,θɛhcɪst
þekkja,θɛhca
þekkjast,θɛhcast
þekkjum,θɛhcʏm
þekkjumst,θɛhcʏmst
þekkst,θɛxst
þekkt,θɛxt
þekkta,θɛxta
þekktan,θɛxtan
þekktar,θɛxtar
þekktari,θɛxtarɪ
þekktast,θɛxtast
þekktasta,θɛxtasta
þekktasti,θɛxtastɪ
þekktastur,θɛxtastʏr
þekkti,θɛxtɪ
þekktir,θɛxtɪr
þekktirðu,θɛxtɪrʏ
þekktist,θɛxtɪst
þekktra,θɛxtra
þekktu,θɛxtʏ
þekktuð,θɛxtʏð
þekktum,θɛxtʏm
þekktumst,θɛxtʏmst
þekktur,θɛxtʏr
þekktust,θɛxtʏst
þekktustu,θɛxtʏstʏ
þekur,θɛ:kʏr
Þelamörk,θɛ:lamœr̥k
þeldökki,θɛltœhcɪ
þema,θɛ:ma
þemadegi,θɛ:matɛjɪ
þemað,θɛ:mað
þemahópunum,θɛ:mahɔ:upɔnʏm
þemastarfi,θɛ:mastarvɪ
þemu,θɛ:mʏ
Þengill,θeiɲcɪtl̥
þenja,θɛnja
þenjast,θɛnjast
þenkirðu,θeiɲ̊cɪrðʏ
þenkjandi,θeiɲ̊cantɪ
þennan,θɛnan
þensla,θɛnstla
þenslan,θɛnstlan
þenslu,θɛnstlʏ
þerapía,θɛ:rapija
þerna,θɛrtna
þerra,θɛra
þerraði,θɛraðɪ
þerri,θɛrɪ
þess,θɛs
þessa,θɛsa
þessar,θɛsar
þessara,θɛsara
þessarar,θɛsarar
þessari,θɛsarɪ
þessháttar,θɛshauhtar
þessi,θɛsɪ
þessir,θɛsɪr
þessu,θɛsʏ
þessum,θɛsʏm
þetta,θɛhta
þeysa,θei:sa
þeysireið,θei:sɪrei:ð
þeysti,θeistɪ
þeyta,θei:ta
þeytast,θɛ:jtast
þeytibakur,θɛ:jtɪpakʏr
þeytingi,θei:tiɲcɪ
þeytir,θei:tɪr
þeytist,θei:tɪst
þeytt,θeiht
þeytti,θeihtɪ
þeyttist,θeihtɪst
þeyttu,θeihtʏ
þeyttum,θeihtʏm
þeyttust,θeihtʏst
þér,θjɛ:r
þétt,θjɛht
þétta,θjɛhta
þéttan,θjɛhtan
þéttar,θjɛhtar
þéttari,θjɛhtarɪ
þéttarvirki,θjɛhtarvɪr̥cɪ
þéttast,θjɛhtast
þéttbýli,θjɛhtpilɪ
þéttbýlin,θjɛhtpilɪn
þéttbýlinu,θjɛhtpilɪnʏ
þéttbýlis,θjɛhtpilɪs
þéttbýliskjarnar,θjɛhtpilɪscartnar
þéttbýlisstöðunum,θjɛhtpilɪstœ:ðɔnʏm
þéttbýlt,θjɛhtpil̥t
þéttgreindur,θjɛhtkrɛjntʏr
þéttholda,θjɛhthɔlta
þéttingu,θjɛhtiŋkʏ
þéttist,θjɛhtɪst
þéttleika,θjɛhtleika
þéttleiki,θjɛhtlɛjcɪ
þéttri,θjɛhtrɪ
þéttsetin,θjɛhtsɛtɪn
þéttsetinn,θjɛhtsɛtɪn
þéttskrifaðar,θjɛhtskrɪvaðar
þéttum,θjɛhtʏm
þéttur,θjɛhtʏr
þéttvaxinn,θjɛhtvaksɪn
þið,θɪ:ð
þig,θɪ:ɣ
þigg,θɪk
þiggja,θɪca
þiggur,θɪkʏr
þil,θɪ:l
þilfari,θɪlfarɪ
þilfarið,θɪlfarɪð
þilið,θɪ:lɪð
þilja,θɪlja
þiljum,θɪljʏm
þindina,θɪntɪna
þing,θiŋk
Þingborg,θiŋkpɔrk
þingey,θiŋkɛj
Þingeyinga,θiŋkeijiŋka
Þingeyjarsýslu,θiŋkeijarsistlʏ
Þingeyjarsýslum,θiŋkeijarsistlʏm
þingeyrarhreppi,θiŋkɛjrar̥ɛhpɪ
Þingeyri,θiŋkeirɪ
þingeyskt,θiŋkɛjst
þingfest,θiŋkfɛst
þingflokka,θiŋkflɔhka
þingflokks,θiŋkflɔhks
þingflokksformaður,θiŋkflɔhksfɔrmaðʏr
þingflokksformanns,θiŋkflɔhksfɔrmans
þingflokksins,θiŋkflɔhksɪns
þingfulltrúa,θiŋkfʏtl̥tʰrua
þingfulltrúar,θiŋkfʏtl̥tʰruar
þingfundar,θiŋkfʏntar
Þingholti,θiŋkhɔl̥tɪ
Þingholtsstræti,θiŋkhɔl̥tstrai:tɪ
Þingholtunum,θiŋkhɔl̥tɔnʏm
þinghúsið,θiŋkhusɪð
þinghúsinu,θiŋkhusɪnʏ
þingi,θiɲcɪ
þingið,θiɲcɪð
þinginu,θiɲcɪnʏ
þingkosninga,θiŋkɔstniŋka
þingkosningar,θiŋkɔstniŋkar
þingkosningum,θiŋkɔstniŋkʏm
þingkosningunum,θiŋkɔstniŋkɔnʏm
þinglok,θiŋklɔk
þinglýsa,θiŋklisa
þinglýsingar,θiŋklisiŋkar
þinglýsingu,θiŋklisiŋkʏ
þinglýst,θiŋklist
þinglýstar,θiŋklistar
þinglýsts,θiŋklists
þinglýstu,θiŋklistʏ
þingmaður,θiŋkmaðʏr
þingmaðurinn,θiŋkmaðʏrɪn
þingmann,θiŋkman
þingmanna,θiŋkmana
þingmannanefndar,θiŋkmananɛmtar
þingmannanna,θiŋkmanana
þingmanni,θiŋkmanɪ
þingmanninum,θiŋkmanɪnʏm
þingmanns,θiŋkmans
þingmannsins,θiŋkmansɪns
þingmenn,θiŋkmɛn
þingmennirnir,θiŋkmɛnɪtnɪr
þingmennsku,θiŋkmɛnskʏ
þingmönnum,θiŋkmœnʏm
þingnefnd,θiŋknɛmt
Þingnesi,θiŋknɛsɪ
þingpöllum,θiŋkpʰœtlʏm
þings,θiŋks
þingsal,θiŋksal
þingsalur,θiŋksalʏr
þingsályktun,θiŋksaulɪxtʏn
þingsályktunar,θiŋksaulɪxtʏnar
þingsályktunartillögu,θiŋksaulɪxtʏnartɪlœɣʏ
þingsins,θiŋksɪns
þingsköpum,θiŋkskœpʏm
þingsvitni,θiŋsvɪhtnɪ
þingsæti,θiŋksaitɪ
þingum,θiŋkʏm
Þingvalla,θiŋkvatla
þingvallafundir,θiŋkvatlafʏntɪr
Þingvallakirkju,θiŋkvatlacʰɪr̥cʏ
þingvallastræti,θiŋkvatlastra:jtɪ
Þingvallasveit,θiŋkvatlasvei:t
Þingvallavatn,θiŋkvatlavahtn̥
Þingvallavatni,θiŋkvatlavahtnɪ
Þingvallavatns,θiŋkvatlavas
Þingvelli,θiŋkvɛtlɪ
Þingvellir,θiŋkvɛtlɪr
Þingvöll,θiŋkvœtl̥
Þingvöllum,θiŋkvœtlʏm
þinn,θɪn
þinna,θɪna
þinnar,θɪnar
þinni,θɪnɪ
þistilfiðrildi,θɪstɪlvɪðrɪltɪ
Þistilfirði,θɪstɪlfɪrðɪ
þitt,θɪht
þíða,θi:ða
þín,θi:n
þína,θi:na
þínar,θi:nar
þínir,θi:nɪr
þíns,θins
þínu,θi:nʏ
þínum,θi:nʏm
þjakaðir,θja:kaðɪr
þjakaður,θja:kaðʏr
þjappa,θjahpa
þjarma,θjarma
þjarmað,θjarmað
þjáðist,θjau:ðɪst
þjáðst,θjauðst
þjáðust,θjau:ðʏst
þjáist,θjau:ɪst
þjálfa,θjaulva
þjálfað,θjaulvað
þjálfaði,θjaulvaðɪ
þjálfaðir,θjaulvaðɪr
þjálfaður,θjaulvaðʏr
þjálfar,θjaulvar
þjálfara,θjaulvara
þjálfarann,θjaulvaran
þjálfarans,θjaulvarans
þjálfarar,θjaulvarar
þjálfari,θjaulvarɪ
þjálfarinn,θjaulvarɪn
þjálfuð,θjaulvʏð
þjálfun,θjaulvʏn
þjálfunar,θjaulvʏnar
þjálfurum,θjaulʏrʏm
þjáningar,θjau:niŋkar
þjáningin,θjau:niɲcɪn
þjáningu,θjau:niŋkʏ
þjáningum,θjau:niŋkʏm
þjást,θjaust
þjóð,θjou:ð
þjóða,θjou:ða
þjóðanna,θjou:ðana
þjóðar,θjou:ðar
þjóðaratkvæðagreiðslu,θjou:ðara:tkʰvaiðakreiðstlʏ
þjóðaratkvæði,θjou:ðara:tkʰvaiðɪ
Þjóðarbókhlaða,θjou:ðarpoukl̥aða
Þjóðarbókhlöðu,θjou:ðarpoukl̥œðʏ
Þjóðarbókhlöðunni,θjou:ðarpoukl̥œðʏnɪ
þjóðarbrota,θjou:ðarprɔ:ta
þjóðarbúið,θjou:ðarpu:ɪð
þjóðarbúinu,θjou:ðarpu:ɪnʏ
þjóðarbúsins,θjou:ðarpu:sɪns
þjóðarbúskapnum,θjou:ðarpu:skahpnʏm
þjóðareign,θjou:ðareikn̥
þjóðarflokksins,θjou:ðarflɔhksɪns
þjóðarframleiðslu,θjou:ðarframleiðstlʏ
þjóðarhag,θjou:ðarha:ɣ
þjóðarinnar,θjou:ðarɪnar
þjóðarmorð,θjou:ðarmɔrð
þjóðarráðsins,θjou:ðarauðsɪns
þjóðarsál,θjou:ðarsau:l
þjóðarsátt,θjou:ðarsauht
þjóðarþel,θjou:ðarθɛ:l
þjóðarþeli,θjouðarθɛ:lɪ
þjóðbraut,θjouðprœit
þjóðbúningi,θjouðpuniɲcɪ
þjóðbúningum,θjouðpuniŋkʏm
þjóðdeild,θjouðteilt
þjóðerni,θjou:ðɛrtnɪ
þjóðernis,θjou:ðɛrtnɪs
þjóðernishyggju,θjou:ðɛrtnɪshɪcʏ
þjóðernissinna,θjou:ðɛrtnɪsɪna
þjóðernum,θjou:ðɛrtnʏm
þjóðfélag,θjouðfjɛlaɣ
þjóðfélagi,θjouðfjɛlaijɪ
þjóðfélagið,θjouðfjɛlaijɪð
þjóðfélaginu,θjouðfjɛlaijɪnʏ
þjóðfélags,θjouðfjɛlaxs
þjóðfélagshópa,θjouðfjɛlaxshou:pa
þjóðfélagsins,θjouðfjɛlaxsɪns
þjóðfélagsstiganum,θjouðfjɛlaxstɪ:ɣanʏm
þjóðfélagsstöðu,θjouðfjɛlaxstœ:ðʏ
þjóðfélögum,θjouðfjɛlœɣʏm
þjóðfræði,θjouðfraiðɪ
þjóðgarð,θjouðkarð
þjóðgarða,θjouðkarða
þjóðgarði,θjouðkarðɪ
þjóðgarðinn,θjouðkarðɪn
þjóðgarðinum,θjouðkarðɪnʏm
þjóðgarðs,θjouðkarðs
þjóðgarðsins,θjouðkarðsɪns
þjóðgarður,θjouðkarðʏr
þjóðgarðurinn,θjouðkarðʏrɪn
þjóðhagslega,θjou:ðhaxstlɛɣa
Þjóðhagsstofnun,θjou:ðhaxstɔpnʏn
Þjóðhagsstofnunar,θjou:ðhaxstɔpnʏnar
þjóðhátíð,θjou:ðhautið
þjóðhátíðardaginn,θjou:ðhautiðarta:jɪn
þjóðhöfðingja,θjou:ðhœvðiɲca
þjóðin,θjou:ðɪn
þjóðina,θjou:ðɪna
þjóðinni,θjou:ðɪnɪ
þjóðir,θjou:ðɪr
þjóðirnar,θjou:ðɪtnar
þjóðkirkjan,θjouðcʰɪr̥can
þjóðkirkjunnar,θjouðcʰɪr̥cʏtnar
þjóðkirkjunni,θjouðcʰɪr̥cʏnɪ
þjóðkunnur,θjouðkʏnʏr
þjóðlag,θjouðlaɣ
þjóðlaga,θjouðlaɣa
þjóðlagatónlist,θjouðlaɣatounlɪst
þjóðleg,θjouðlɛɣ
þjóðlega,θjouðlɛɣa
þjóðlegan,θjouðlɛɣan
þjóðlegt,θjouðlɛxt
þjóðlegu,θjouðlɛɣʏ
þjóðlegum,θjouðlɛɣʏm
Þjóðleikhús,θjouðleikhu:s
Þjóðleikhúsið,θjouðleikhu:sɪð
Þjóðleikhúsinu,θjouðleikhu:sɪnʏ
Þjóðleikhúskjallarans,θjouðleikhu:scatlarans
Þjóðleikhúskjallaranum,θjouðleikhu:scatlaranʏm
Þjóðleikhússins,θjouðleikhusɪns
þjóðleikhússtjóri,θjouðleikhustjou:rɪ
þjóðlendum,θjouðlɛntʏm
þjóðlendur,θjouðlɛntʏr
þjóðlíf,θjouðliv
þjóðlífi,θjouðlivɪ
þjóðlífið,θjouðlivɪð
þjóðlífinu,θjouðlivɪnʏ
þjóðlífsins,θjouðlifsɪns
þjóðlög,θjouðlœɣ
þjóðlögum,θjouðlœɣʏm
þjóðlöndum,θjouðlœntʏm
þjóðmál,θjouðmaul
þjóðmálin,θjouðmaulɪn
þjóðmálum,θjouðmaulʏm
Þjóðmenningarhúsið,θjouðmɛniŋkarhu:sɪð
Þjóðmenningarhúsinu,θjouðmɛniŋkarhu:sɪnʏ
Þjóðmenningarhússins,θjouðmɛniŋkarhusɪns
Þjóðminjasafn,θjouðmɪnjasapn̥
Þjóðminjasafni,θjouðmɪnjasapnɪ
Þjóðminjasafnið,θjouðmɪnjasapnɪð
Þjóðminjasafninu,θjouðmɪnjasapnɪnʏ
Þjóðminjasafns,θjouðmɪnjasaps
Þjóðminjasafnsins,θjouðmɪnjasapsɪns
þjóðminjavarðar,θjouðmɪnjavarðar
þjóðminjavörður,θjouðmɪnjavœrðʏr
Þjóðólfur,θjou:ðoulvʏr
þjóðsagan,θjouðsaɣan
þjóðskrá,θjouðskrau
þjóðskránni,θjouðskraunɪ
þjóðsögum,θjouðsœɣʏm
þjóðsögur,θjouðsœɣʏr
þjóðsönginn,θjouðsœiɲcɪn
þjóðtrú,θjouðtru
þjóðum,θjouðʏm
þjóðunum,θjouðɔnʏm
þjóðveg,θjouðvɛɣ
þjóðvegi,θjouðveijɪ
þjóðveginn,θjouðveijɪn
þjóðveginum,θjouðveijɪnʏm
þjóðvegum,θjouðvɛɣʏm
